"Providence"	70.1	8:50
"Pawtucket"	63.6	8:45
"South Attleboro"	59.7	8:42
"Attleboro"	51.4	8:37
"Mansfield"	40.0	8:31
"Sharon"	29.2	8:26
"Canton Jct"	24.1	8:22
"Route 128"	18.8	8:19
"Readville"	15.5	8:16
"Hyde Park"	13.5	8:14
"Cummins Hwy"	10.6	8:12
"Forest Hills"	8.3	8:08
"Ruggles"	4.0	8:05
"Back Bay"	2.1	8:03
"South Station"	0.0	8:01
