"Providence"	70.1	6:54
"Mansfield"	40.0	7:09
"Sharon"	29.2	7:14
"Route 128"	18.8	7:20
"Ruggles"	4.0	7:29
"Back Bay"	2.1	7:31
"South Station"	0.0	7:32
