"Providence"	70.1	9:11
"Pawtucket"	63.6	9:16
"South Attleboro"	59.7	9:19
"Attleboro"	51.4	9:24
"Mansfield"	40.0	9:30
"Sharon"	29.2	9:35
"Canton Jct"	24.1	9:39
"Route 128"	18.8	9:42
"Readville"	15.5	9:45
"Hyde Park"	13.5	9:47
"Cummins Hwy"	10.6	9:49
"Forest Hills"	8.3	9:53
"Ruggles"	4.0	9:56
"Back Bay"	2.1	9:58
"South Station"	0.0	10:00
