"","x"
"X300",0
"X315",0
"X330",0
"X345",0
"X360",0
"X375",1
"X390",1
"X405",1
"X420",1
"X428",1
"X435",1
"X442",1
"X450",1
"X458",1
"X465",1
"X472",2
"X480",2
"X488",2
"X495",2
"X502",2
"X510",2
"X518",2
"X525",2
"X532",2
"X540",2
"X548",1
"X555",1
"X562",1
"X570",2
"X585",1
"X600",1
"X615",1
"X630",1
"X645",1
"X660",1
"X675",1
"X690",1
"X705",1
"X720",1
"X735",1
