"","x"
"X360",0
"X368",0
"X376",0
"X384",1
"X392",1
"X400",1
"X408",1
"X416",1
"X424",1
"X432",1
"X440",1
"X448",1
"X456",1
"X464",2
"X472",2
"X480",2
"X488",2
"X496",2
"X504",2
"X512",2
"X520",2
"X528",2
"X536",2
"X544",1
"X552",1
"X560",1
"X568",1
"X576",1
"X584",1
"X592",1
"X600",1
"X608",1
"X616",1
"X624",1
"X632",1
"X640",1
"X648",1
"X656",1
"X664",1
"X672",1
"X680",1
"X688",1
"X696",1
"X704",1
"X712",1
