train,time,time_minutes
P500,6:18,378
P502,6:35,395
P582,6:58,418
P504,7:10,430
P584,7:33,453
P506,7:45,465
P586,8:10,490
P508,8:20,500
P588,8:44,524
P510,8:55,535
P552,9:06,546
P590,9:39,579
P512,10:24,624
P514,12:06,726
P516,13:36,816
