train,time,time_minutes
P500,6:31,391
P502,7:08,428
P504,7:46,466
P506,8:11,491
P508,8:23,503
P510,8:56,536
P512,9:08,548
P514,9:35,575
P516,10:00,600
P518,12:05,725
