"","x"
"X370",1
"X390",1
"X410",1
"X430",2
"X450",1
"X460",2
"X470",2
"X480",2
"X490",2
"X500",2
"X510",2
"X520",2
"X528",2
"X536",2
"X544",1
"X552",1
"X560",2
"X580",2
"X600",1
"X620",1
"X640",1
"X660",1
"X680",1
"X700",1
"X720",1
