"","x"
"X360",0
"X372",1
"X384",1
"X396",1
"X408",1
"X420",2
"X432",1
"X444",2
"X456",1
"X468",3
"X480",2
"X492",4
"X504",2
"X516",3
"X528",2
"X540",2
"X552",1
"X564",2
"X576",1
"X588",1
"X600",1
"X612",1
"X624",1
"X636",1
"X648",1
"X660",1
"X672",1
"X684",1
"X696",1
"X708",1
